,subject,color,gi,mi,status,bp,wp,response,rt
1022,5.0,1,3,1,playing,000000000000100000000000000000000000,000000000000000000000000000000000000,22,6.664
1241,5.0,1,5,7,playing,000000000000100000000101000000010000,000100000000010000000010000000000000,4,23.215
1146,5.0,1,0,9,playing,000110000000010000000101000000000000,000001100000000000000010000000000100,12,35.906
1239,5.0,1,5,5,playing,000000000000100000000101000000000000,000100000000010000000000000000000000,22,6.399
1026,5.0,1,3,5,playing,000000100000110000000000000000000000,000000000000001000000010000000000000,23,4.769
976,5.0,0,0,10,playing,000000000011100000000110000000000000,001110000100010000000000000000000000,5,1.691
1172,5.0,1,1,9,playing,000000000011101000000000000000000100,000000000100010100000000100000000000,22,28.761
1243,5.0,1,5,9,playing,000001000000100000000101000000010000,000110000000010000000010000000000000,14,27.112
1255,5.0,1,5,21,playing,001001100000100010000101100000010110,010110010000011000010010000000101000,15,4.568
1048,5.0,0,4,10,win,000000000001110000000010000000001000,001011000000001000000001000000000000,10,2.586
1056,5.0,1,5,7,playing,000000000000100000000101000000010000,000100000000010000000010000000000000,4,23.215
1267,5.0,1,5,33,playing,101001100011100011000101101010010110,010110010100011100110010010101101000,35,2.551
1203,5.0,0,2,8,playing,000011000000110000000000000000000000,000000000010001000000001000000010000,6,4.106
1044,5.0,0,4,6,playing,000000000001010000000010000000000000,000001000000001000000001000000000000,32,1.76
1176,5.0,1,1,13,playing,000000000011101000000001000000010100,000010000100010100000010100000000000,32,13.56
1052,5.0,1,5,3,playing,000000000000100000000100000000000000,000000000000010000000000000000000000,3,7.627
1272,5.0,0,6,4,playing,000000000000000000000110000000000000,000000000000110000000000000000000000,23,35.355
1259,5.0,1,5,25,playing,001001100010100010000101101000010110,010110010000011100010010010000101000,27,20.864
1151,5.0,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,11,2.907
1124,5.0,1,0,3,playing,000000000000101000000000000000000000,000000000000000000000000000000100000,11,38.71
1105,5.0,1,7,15,playing,001000000001000100000011100001010000,000011000000011000001100010000000000,7,9.36
1064,5.0,1,5,15,playing,001001100000100010000101000000010000,010110000000011000000010000000100000,7,22.938
1263,5.0,1,5,29,playing,001001100011100011000101101000010110,010110010100011100010010010100101000,29,34.337
1188,5.0,1,1,25,playing,100100001011101000010101000001010100,010010000100010110100010100100101000,25,22.876
949,5.0,1,0,13,playing,001000000000111000000000000010001001,000011000001000100000010000000100000,6,16.567
1148,5.0,1,0,11,playing,000110000000010100000101000000000000,000001100000100000000010000000000100,14,8.479
1040,5.0,0,4,2,playing,000000000001000000000000000000000000,000000000000000000000001000000000000,13,32.933
1060,5.0,1,5,11,playing,000001000000100010000101000000010000,000110000000011000000010000000000000,1,74.048
939,5.0,1,0,3,playing,000000000000101000000000000000000000,000000000000000000000000000000100000,11,38.71
1134,5.0,1,0,13,playing,001000000000111000000000000010001001,000011000001000100000010000000100000,6,16.567
1050,5.0,1,5,1,playing,000000000000100000000000000000000000,000000000000000000000000000000000000,13,4.974
987,5.0,1,1,9,playing,000000000011101000000000000000000100,000000000100010100000000100000000000,22,28.761
1091,5.0,1,7,1,playing,000000000000000000000010000000000000,000000000000000000000000000000000000,13,8.245
1257,5.0,1,5,23,playing,001001100000100010000101101000010110,010110010000011100010010000000101000,25,1.554
1182,5.0,1,1,19,playing,000100000011101000010101000000010100,010010000100010100000010100000101000,27,1.507
1118,5.0,1,0,7,playing,100001000000000000000100000000100000,000000000000110000000000000001000000,11,12.645
1219,5.0,1,3,13,playing,000001100000110000000100100000100000,000000000000001000000011000001001100,3,9.307
1168,5.0,1,1,5,playing,000000000001101000000000000000000000,000000000000000100000000100000000000,13,8.224
1292,5.0,1,7,17,playing,001000100001000100000011100001010000,000011010000011000001100010000000000,33,2.602
995,5.0,1,1,17,playing,000100000011101000000101000000010100,010010000100010100000010100000001000,30,2.856
1078,5.0,1,5,29,playing,001001100011100011000101101000010110,010110010100011100010010010100101000,29,34.337
