,subject,color,gi,mi,status,bp,wp,response,rt
1062,5.0,1,5,13,playing,001001000000100010000101000000010000,010110000000011000000010000000000000,30,7.569
1097,5.0,1,7,7,playing,000000000001000100000011000000000000,000001000000011000000000000000000000,21,4.788
1274,5.0,0,6,6,win,000000000000000000000111000000000000,000000000000110000001000000000000000,24,5.623
1087,5.0,0,6,4,playing,000000000000000000000110000000000000,000000000000110000000000000000000000,23,35.355
1101,5.0,1,7,11,playing,000000000001000100000011100001000000,000011000000011000000100000000000000,25,4.061
1268,5.0,0,6,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,22,7.412
1278,5.0,1,7,3,playing,000000000001000000000010000000000000,000000000000010000000000000000000000,14,32.196
1012,5.0,0,2,2,playing,000000000000100000000000000000000000,000000000000000000000001000000000000,13,27.774
1184,5.0,1,1,21,playing,000100000011101000010101000001010100,010010000100010100000010100100101000,18,42.304
1253,5.0,1,5,19,playing,001001100000100010000101000000010110,010110010000011000010010000000100000,32,4.738
963,5.0,1,0,11,playing,000110000000010100000101000000000000,000001100000100000000010000000000100,14,8.479
1058,5.0,1,5,9,playing,000001000000100000000101000000010000,000110000000010000000010000000000000,14,27.112
1225,5.0,0,4,2,playing,000000000001000000000000000000000000,000000000000000000000001000000000000,13,32.933
1284,5.0,1,7,9,playing,000000000001000100000011000001000000,000001000000011000000100000000000000,4,11.722
1155,5.0,0,0,4,playing,000000000001100000000000000000000000,000010000000010000000000000000000000,22,1.22
1195,5.0,0,2,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,12,23.932
1046,5.0,0,4,8,playing,000000000001010000000010000000001000,000011000000001000000001000000000000,12,3.434
1020,5.0,0,2,10,win,000011100000110000000000000000000000,000000010010001000000001000000010000,3,2.178
945,5.0,1,0,9,playing,000000000000111000000000000010001000,000010000001000100000000000000100000,5,8.794
972,5.0,0,0,6,playing,000000000001100000000010000000000000,001010000000010000000000000000000000,10,13.17
981,5.0,1,1,3,playing,000000000000101000000000000000000000,000000000000000000000000100000000000,15,17.157
1215,5.0,1,3,9,playing,000000100000110000000100100000000000,000000000000001000000011000000000100,32,11.526
1233,5.0,0,4,10,win,000000000001110000000010000000001000,001011000000001000000001000000000000,10,2.586
1099,5.0,1,7,9,playing,000000000001000100000011000001000000,000001000000011000000100000000000000,4,11.722
1109,5.0,1,7,19,playing,001000100001000100000011100001011000,000011010000011000001100010000000100,30,6.85
1074,5.0,1,5,25,playing,001001100010100010000101101000010110,010110010000011100010010010000101000,27,20.864
1140,5.0,1,0,3,playing,000000000000000000000101000000000000,000001000000000000000000000000000000,22,18.432
974,5.0,0,0,8,playing,000000000011100000000010000000000000,001010000100010000000000000000000000,21,8.129
1005,5.0,1,1,27,playing,100100001011101000011101000001010100,010010000100010110100010110100101000,2,2.366
1018,5.0,0,2,8,playing,000011000000110000000000000000000000,000000000010001000000001000000010000,6,4.106
1249,5.0,1,5,15,playing,001001100000100010000101000000010000,010110000000011000000010000000100000,7,22.938
